X,Y
-7.975000000000000000e+01,-1.000000000000000000e+01
-7.950000000000000000e+01,-1.000000000000000000e+01
-7.925000000000000000e+01,-1.000000000000000000e+01
-7.900000000000000000e+01,-1.000000000000000000e+01
-7.875000000000000000e+01,-1.000000000000000000e+01
-7.850000000000000000e+01,-1.000000000000000000e+01
-7.825000000000000000e+01,-1.000000000000000000e+01
-7.800000000000000000e+01,-1.000000000000000000e+01
-7.975000000000000000e+01,-9.750000000000000000e+00
-7.950000000000000000e+01,-9.750000000000000000e+00
-7.925000000000000000e+01,-9.750000000000000000e+00
-7.900000000000000000e+01,-9.750000000000000000e+00
-7.875000000000000000e+01,-9.750000000000000000e+00
-7.850000000000000000e+01,-9.750000000000000000e+00
-7.825000000000000000e+01,-9.750000000000000000e+00
-7.800000000000000000e+01,-9.750000000000000000e+00
-7.975000000000000000e+01,-9.500000000000000000e+00
-7.950000000000000000e+01,-9.500000000000000000e+00
-7.925000000000000000e+01,-9.500000000000000000e+00
-7.900000000000000000e+01,-9.500000000000000000e+00
-7.875000000000000000e+01,-9.500000000000000000e+00
-7.850000000000000000e+01,-9.500000000000000000e+00
-7.825000000000000000e+01,-9.500000000000000000e+00
-7.800000000000000000e+01,-9.500000000000000000e+00
-7.975000000000000000e+01,-9.250000000000000000e+00
-7.950000000000000000e+01,-9.250000000000000000e+00
-7.925000000000000000e+01,-9.250000000000000000e+00
-7.900000000000000000e+01,-9.250000000000000000e+00
-7.875000000000000000e+01,-9.250000000000000000e+00
-7.850000000000000000e+01,-9.250000000000000000e+00
-7.825000000000000000e+01,-9.250000000000000000e+00
-7.800000000000000000e+01,-9.250000000000000000e+00
-7.975000000000000000e+01,-9.000000000000000000e+00
-7.950000000000000000e+01,-9.000000000000000000e+00
-7.925000000000000000e+01,-9.000000000000000000e+00
-7.900000000000000000e+01,-9.000000000000000000e+00
-7.875000000000000000e+01,-9.000000000000000000e+00
-7.850000000000000000e+01,-9.000000000000000000e+00
-7.825000000000000000e+01,-9.000000000000000000e+00
-7.800000000000000000e+01,-9.000000000000000000e+00
